CANMOREID,URL,XCOORD,YCOORD,Geological,Palaeolithic,Mesolithic,Neolithic,Bronze_Age,Iron_Age,Early_Medieval,Later_Medieval,Pre_Industrial,Post_Industrial,Modern,Term_Count
320030,https://canmore.org.uk/site/320030/,313446,680284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.89,66.11,25
271529,https://canmore.org.uk/site/271529/,345734,720692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06,83.94,44
27831,https://canmore.org.uk/site/27831/,318540,709260,0.0,0.0,0.0,0.0,0.0,0.0,21.79,22.73,23.67,24.61,7.2,96
27764,https://canmore.org.uk/site/27764/,318680,708800,0.0,0.0,0.0,33.97,33.97,0.0,0.0,0.0,0.0,16.03,16.03,14
27054,https://canmore.org.uk/site/27054/,334000,709000,0.0,0.0,0.0,0.0,0.0,0.0,18.22,18.22,18.22,20.46,24.87,39
28066,https://canmore.org.uk/site/28066/,319448,710178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,38.93,38.93,10
28072,https://canmore.org.uk/site/28072/,316000,710000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.89,16.34,27.89,27.89,7
28080,https://canmore.org.uk/site/28080/,316610,710470,0.0,0.0,0.0,21.43,21.43,7.14,7.14,0.0,0.0,21.43,21.43,18
28081,https://canmore.org.uk/site/28081/,317000,710600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33,54.67,9
28082,https://canmore.org.uk/site/28082/,316300,710000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33,54.67,9
28083,https://canmore.org.uk/site/28083/,319690,713820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,43.93,43.93,11
30261,https://canmore.org.uk/site/30261/,324890,710570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.33,27
30262,https://canmore.org.uk/site/30262/,324840,710640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,22
30263,https://canmore.org.uk/site/30263/,324830,710640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94,48.36,41.7,26
30264,https://canmore.org.uk/site/30264/,324880,710640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,30
30265,https://canmore.org.uk/site/30265/,323380,710390,0.0,0.0,0.0,23.86,13.04,13.04,13.04,0.0,0.0,18.51,18.51,48
30268,https://canmore.org.uk/site/30268/,323000,710000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,16
30269,https://canmore.org.uk/site/30269/,323940,712450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,26
30270,https://canmore.org.uk/site/30270/,323600,714930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,36
30271,https://canmore.org.uk/site/30271/,323798,711754,0.0,0.0,0.0,0.0,0.0,15.62,0.0,10.22,0.0,35.85,38.31,35
30272,https://canmore.org.uk/site/30272/,321000,710000,0.0,0.0,0.0,6.17,6.17,14.61,14.61,14.61,14.61,14.61,14.61,20
30273,https://canmore.org.uk/site/30273/,324050,711570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,32
27810,https://canmore.org.uk/site/27810/,319800,705700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27811,https://canmore.org.uk/site/27811/,319200,706100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27812,https://canmore.org.uk/site/27812/,319400,706000,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,4
27813,https://canmore.org.uk/site/27813/,319500,706200,0.0,0.0,0.0,23.97,23.97,23.97,0.0,0.0,0.0,14.04,14.04,8
27814,https://canmore.org.uk/site/27814/,319700,706600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,4
27815,https://canmore.org.uk/site/27815/,318300,708900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,8
27816,https://canmore.org.uk/site/27816/,318985,709575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27818,https://canmore.org.uk/site/27818/,317561,707064,0.0,15.59,15.59,26.61,26.61,15.59,0.0,0.0,0.0,0.0,0.0,7
27820,https://canmore.org.uk/site/27820/,316370,709990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.52,34.9,31.72,4.87,56
27821,https://canmore.org.uk/site/27821/,319700,706600,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,4
27822,https://canmore.org.uk/site/27822/,319500,707000,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,4
27823,https://canmore.org.uk/site/27823/,318500,709000,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,4
27824,https://canmore.org.uk/site/27824/,318000,709000,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,4
27825,https://canmore.org.uk/site/27825/,319300,706900,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,5
27826,https://canmore.org.uk/site/27826/,319300,706900,0.0,0.0,0.0,0.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,3
27827,https://canmore.org.uk/site/27827/,316772,707849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8
30110,https://canmore.org.uk/site/30110/,324531,717916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,30
30111,https://canmore.org.uk/site/30111/,322723,716324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,38.93,38.93,10
30112,https://canmore.org.uk/site/30112/,323853,718184,0.0,0.0,0.0,0.0,0.0,0.0,9.77,9.77,9.77,35.35,35.35,13
30113,https://canmore.org.uk/site/30113/,323996,718320,0.0,0.0,0.0,0.0,0.0,0.0,15.99,15.99,15.99,26.02,26.02,128
30114,https://canmore.org.uk/site/30114/,322747,718344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.63,13.63,42.86,29.89,33
30115,https://canmore.org.uk/site/30115/,322521,717965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,10.02,44.56,35.41,58
30116,https://canmore.org.uk/site/30116/,323722,717978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,20
30117,https://canmore.org.uk/site/30117/,322810,718010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,8
30126,https://canmore.org.uk/site/30126/,323520,718370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.35,51.65,27
30130,https://canmore.org.uk/site/30130/,324800,717700,0.0,0.0,0.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,6
30132,https://canmore.org.uk/site/30132/,323775,717027,0.0,3.52,6.19,17.12,14.76,14.76,12.37,2.06,2.06,13.57,13.57,72
30133,https://canmore.org.uk/site/30133/,323980,716960,0.0,6.5,6.5,13.77,13.77,13.77,9.0,0.0,0.0,18.35,18.35,36
30134,https://canmore.org.uk/site/30134/,323000,716000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,4
30135,https://canmore.org.uk/site/30135/,323527,718283,0.0,0.0,0.0,2.53,0.0,0.0,2.53,3.21,11.89,41.34,38.5,161
30136,https://canmore.org.uk/site/30136/,323000,718000,0.0,0.0,0.0,67.87,0.0,0.0,0.0,0.0,0.0,16.06,16.06,8
30137,https://canmore.org.uk/site/30137/,324300,717800,0.0,0.0,0.0,16.34,27.89,27.89,27.89,0.0,0.0,0.0,0.0,7
30139,https://canmore.org.uk/site/30139/,322061,718115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,2
30140,https://canmore.org.uk/site/30140/,322500,718100,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,18.75,25.0,18.75,27
30142,https://canmore.org.uk/site/30142/,324000,718000,0.0,0.0,0.0,0.0,13.2,13.2,13.2,30.2,30.2,0.0,0.0,25
30144,https://canmore.org.uk/site/30144/,323000,718000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,9.97,39.78,35.0,36
30274,https://canmore.org.uk/site/30274/,321690,710160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,24
30275,https://canmore.org.uk/site/30275/,323517,710404,0.0,4.4,4.4,4.4,23.83,23.83,21.22,0.0,0.0,7.51,10.41,31
30276,https://canmore.org.uk/site/30276/,323551,710053,0.0,5.25,5.25,18.98,18.98,25.31,15.74,5.25,5.25,0.0,0.0,25
30277,https://canmore.org.uk/site/30277/,324900,712000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30278,https://canmore.org.uk/site/30278/,324200,711200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,13
30279,https://canmore.org.uk/site/30279/,321491,710241,0.0,0.0,0.0,3.05,0.0,0.0,4.07,6.04,14.04,38.41,34.39,206
30281,https://canmore.org.uk/site/30281/,322100,712800,0.0,0.0,0.0,15.57,0.0,0.0,0.0,6.58,6.58,35.63,35.63,21
30282,https://canmore.org.uk/site/30282/,323802,711734,0.0,0.0,0.0,6.22,0.0,0.0,7.14,8.05,12.52,34.95,31.12,215
30283,https://canmore.org.uk/site/30283/,322742,711920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30284,https://canmore.org.uk/site/30284/,324017,712658,0.0,13.31,13.31,13.31,23.39,23.39,13.31,0.0,0.0,0.0,0.0,16
30285,https://canmore.org.uk/site/30285/,324171,712217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30286,https://canmore.org.uk/site/30286/,321480,710230,0.0,0.0,0.0,0.0,0.0,0.0,7.06,21.19,12.06,29.84,29.84,19
30287,https://canmore.org.uk/site/30287/,324284,711405,0.0,0.0,0.0,4.55,4.55,4.55,4.55,27.27,27.27,27.27,0.0,31
30288,https://canmore.org.uk/site/30288/,324406,711716,0.0,0.0,0.0,9.29,9.29,26.23,9.29,0.0,0.0,19.68,26.23,25
30289,https://canmore.org.uk/site/30289/,324205,711520,0.0,0.0,0.0,6.39,6.39,34.59,6.39,0.0,0.0,23.12,23.12,21
30290,https://canmore.org.uk/site/30290/,324630,710160,0.0,0.0,0.0,1.77,16.72,16.72,16.72,0.0,1.77,20.69,25.6,90
30291,https://canmore.org.uk/site/30291/,323357,710688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30292,https://canmore.org.uk/site/30292/,324170,710978,0.0,0.0,0.0,2.43,0.67,0.67,7.09,19.16,22.03,29.15,18.8,259
30293,https://canmore.org.uk/site/30293/,324100,710980,0.0,0.0,0.0,0.0,2.25,2.25,2.25,10.57,13.74,40.28,28.66,180
30294,https://canmore.org.uk/site/30294/,324160,711010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.61,23.34,36.94,18.11,52
30295,https://canmore.org.uk/site/30295/,324259,711008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,13.4,44.96,29.42,81
30296,https://canmore.org.uk/site/30296/,324550,710140,0.0,0.0,0.0,0.0,27.27,9.09,9.09,0.0,0.0,27.27,27.27,14
30298,https://canmore.org.uk/site/30298/,321000,710000,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,25.0,3
