CANMOREID,URL,XCOORD,YCOORD
320030,https://canmore.org.uk/site/320030/,313446,680284
271529,https://canmore.org.uk/site/271529/,345734,720692
27831,https://canmore.org.uk/site/27831/,318540,709260
27764,https://canmore.org.uk/site/27764/,318680,708800
27054,https://canmore.org.uk/site/27054/,334000,709000
28066,https://canmore.org.uk/site/28066/,319448,710178
28072,https://canmore.org.uk/site/28072/,316000,710000
28080,https://canmore.org.uk/site/28080/,316610,710470
28081,https://canmore.org.uk/site/28081/,317000,710600
28082,https://canmore.org.uk/site/28082/,316300,710000
28083,https://canmore.org.uk/site/28083/,319690,713820
30261,https://canmore.org.uk/site/30261/,324890,710570
30262,https://canmore.org.uk/site/30262/,324840,710640
30263,https://canmore.org.uk/site/30263/,324830,710640
30264,https://canmore.org.uk/site/30264/,324880,710640
30265,https://canmore.org.uk/site/30265/,323380,710390
30268,https://canmore.org.uk/site/30268/,323000,710000
30269,https://canmore.org.uk/site/30269/,323940,712450
30270,https://canmore.org.uk/site/30270/,323600,714930
30271,https://canmore.org.uk/site/30271/,323798,711754
30272,https://canmore.org.uk/site/30272/,321000,710000
30273,https://canmore.org.uk/site/30273/,324050,711570
27810,https://canmore.org.uk/site/27810/,319800,705700
27811,https://canmore.org.uk/site/27811/,319200,706100
27812,https://canmore.org.uk/site/27812/,319400,706000
27813,https://canmore.org.uk/site/27813/,319500,706200
27814,https://canmore.org.uk/site/27814/,319700,706600
27815,https://canmore.org.uk/site/27815/,318300,708900
27816,https://canmore.org.uk/site/27816/,318985,709575
27818,https://canmore.org.uk/site/27818/,317561,707064
27820,https://canmore.org.uk/site/27820/,316370,709990
27821,https://canmore.org.uk/site/27821/,319700,706600
27822,https://canmore.org.uk/site/27822/,319500,707000
27823,https://canmore.org.uk/site/27823/,318500,709000
27824,https://canmore.org.uk/site/27824/,318000,709000
27825,https://canmore.org.uk/site/27825/,319300,706900
27826,https://canmore.org.uk/site/27826/,319300,706900
27827,https://canmore.org.uk/site/27827/,316772,707849
30110,https://canmore.org.uk/site/30110/,324531,717916
30111,https://canmore.org.uk/site/30111/,322723,716324
30112,https://canmore.org.uk/site/30112/,323853,718184
30113,https://canmore.org.uk/site/30113/,323996,718320
30114,https://canmore.org.uk/site/30114/,322747,718344
30115,https://canmore.org.uk/site/30115/,322521,717965
30116,https://canmore.org.uk/site/30116/,323722,717978
30117,https://canmore.org.uk/site/30117/,322810,718010
30126,https://canmore.org.uk/site/30126/,323520,718370
30130,https://canmore.org.uk/site/30130/,324800,717700
30132,https://canmore.org.uk/site/30132/,323775,717027
30133,https://canmore.org.uk/site/30133/,323980,716960
30134,https://canmore.org.uk/site/30134/,323000,716000
30135,https://canmore.org.uk/site/30135/,323527,718283
30136,https://canmore.org.uk/site/30136/,323000,718000
30137,https://canmore.org.uk/site/30137/,324300,717800
30139,https://canmore.org.uk/site/30139/,322061,718115
30140,https://canmore.org.uk/site/30140/,322500,718100
30142,https://canmore.org.uk/site/30142/,324000,718000
30144,https://canmore.org.uk/site/30144/,323000,718000
30274,https://canmore.org.uk/site/30274/,321690,710160
30275,https://canmore.org.uk/site/30275/,323517,710404
30276,https://canmore.org.uk/site/30276/,323551,710053
30277,https://canmore.org.uk/site/30277/,324900,712000
30278,https://canmore.org.uk/site/30278/,324200,711200
30279,https://canmore.org.uk/site/30279/,321491,710241
30281,https://canmore.org.uk/site/30281/,322100,712800
30282,https://canmore.org.uk/site/30282/,323802,711734
30283,https://canmore.org.uk/site/30283/,322742,711920
30284,https://canmore.org.uk/site/30284/,324017,712658
30285,https://canmore.org.uk/site/30285/,324171,712217
30286,https://canmore.org.uk/site/30286/,321480,710230
30287,https://canmore.org.uk/site/30287/,324284,711405
30288,https://canmore.org.uk/site/30288/,324406,711716
30289,https://canmore.org.uk/site/30289/,324205,711520
30290,https://canmore.org.uk/site/30290/,324630,710160
30291,https://canmore.org.uk/site/30291/,323357,710688
30292,https://canmore.org.uk/site/30292/,324170,710978
30293,https://canmore.org.uk/site/30293/,324100,710980
30294,https://canmore.org.uk/site/30294/,324160,711010
30295,https://canmore.org.uk/site/30295/,324259,711008
30296,https://canmore.org.uk/site/30296/,324550,710140
30298,https://canmore.org.uk/site/30298/,321000,710000
30299,https://canmore.org.uk/site/30299/,320920,711160
30300,https://canmore.org.uk/site/30300/,323743,711734
27786,https://canmore.org.uk/site/27786/,319720,706630
27788,https://canmore.org.uk/site/27788/,317400,705900
27789,https://canmore.org.uk/site/27789/,318966,709614
27790,https://canmore.org.uk/site/27790/,319285,709600
27791,https://canmore.org.uk/site/27791/,318500,709300
27792,https://canmore.org.uk/site/27792/,315981,709899
27793,https://canmore.org.uk/site/27793/,318820,709459
27794,https://canmore.org.uk/site/27794/,319980,709670
27795,https://canmore.org.uk/site/27795/,318375,709357
27796,https://canmore.org.uk/site/27796/,318800,709470
27797,https://canmore.org.uk/site/27797/,318466,709144
27798,https://canmore.org.uk/site/27798/,318550,708560
27799,https://canmore.org.uk/site/27799/,318520,708560
27800,https://canmore.org.uk/site/27800/,318530,708580
27801,https://canmore.org.uk/site/27801/,319150,708290
27803,https://canmore.org.uk/site/27803/,319400,707400
27804,https://canmore.org.uk/site/27804/,317700,706600
27805,https://canmore.org.uk/site/27805/,319250,706374
27806,https://canmore.org.uk/site/27806/,319200,707200
27807,https://canmore.org.uk/site/27807/,319300,707300
27808,https://canmore.org.uk/site/27808/,319900,705800
27809,https://canmore.org.uk/site/27809/,318870,708860
30301,https://canmore.org.uk/site/30301/,323855,714992
30302,https://canmore.org.uk/site/30302/,320900,710100
30304,https://canmore.org.uk/site/30304/,323250,711070
30305,https://canmore.org.uk/site/30305/,323270,710970
30306,https://canmore.org.uk/site/30306/,323260,710850
30307,https://canmore.org.uk/site/30307/,323300,710870
30308,https://canmore.org.uk/site/30308/,323543,711215
30145,https://canmore.org.uk/site/30145/,322710,716780
30146,https://canmore.org.uk/site/30146/,326500,714860
30147,https://canmore.org.uk/site/30147/,327600,712800
30148,https://canmore.org.uk/site/30148/,328260,713560
30149,https://canmore.org.uk/site/30149/,327841,711517
30150,https://canmore.org.uk/site/30150/,329839,714092
30151,https://canmore.org.uk/site/30151/,328840,713090
30152,https://canmore.org.uk/site/30152/,329000,713000
30153,https://canmore.org.uk/site/30153/,329893,713801
30154,https://canmore.org.uk/site/30154/,329800,713800
30155,https://canmore.org.uk/site/30155/,329180,713040
30156,https://canmore.org.uk/site/30156/,329271,713244
30157,https://canmore.org.uk/site/30157/,329839,714161
30158,https://canmore.org.uk/site/30158/,328260,713560
30159,https://canmore.org.uk/site/30159/,329920,711140
