CANMOREID,URL,XCOORD,YCOORD
9640,https://canmore.org.uk/site/9640/,358000,643000
276982,https://canmore.org.uk/site/276982/,384591,652604
55397,https://canmore.org.uk/site/55397/,350226,614444
60281,https://canmore.org.uk/site/60281/,394345,661900
58426,https://canmore.org.uk/site/58426/,373000,634000
58787,https://canmore.org.uk/site/58787/,372847,660207
48590,https://canmore.org.uk/site/48590/,309840,639620
48591,https://canmore.org.uk/site/48591/,309760,639250
48592,https://canmore.org.uk/site/48592/,309830,638890
48593,https://canmore.org.uk/site/48593/,307570,635460
48594,https://canmore.org.uk/site/48594/,309860,638530
48596,https://canmore.org.uk/site/48596/,308800,635840
48597,https://canmore.org.uk/site/48597/,309760,639080
48598,https://canmore.org.uk/site/48598/,308100,635100
48599,https://canmore.org.uk/site/48599/,306600,635820
48600,https://canmore.org.uk/site/48600/,308290,635290
48601,https://canmore.org.uk/site/48601/,308660,638740
48602,https://canmore.org.uk/site/48602/,307000,639300
48603,https://canmore.org.uk/site/48603/,306920,637950
48604,https://canmore.org.uk/site/48604/,307522,639002
48605,https://canmore.org.uk/site/48605/,306600,636700
48607,https://canmore.org.uk/site/48607/,309401,635158
48608,https://canmore.org.uk/site/48608/,308000,636700
48613,https://canmore.org.uk/site/48613/,306650,637300
48614,https://canmore.org.uk/site/48614/,306550,636710
48615,https://canmore.org.uk/site/48615/,308900,637600
48618,https://canmore.org.uk/site/48618/,309700,639100
48619,https://canmore.org.uk/site/48619/,305300,635200
48620,https://canmore.org.uk/site/48620/,305200,635200
48621,https://canmore.org.uk/site/48621/,309700,639140
48622,https://canmore.org.uk/site/48622/,309880,638990
48623,https://canmore.org.uk/site/48623/,308012,639769
48624,https://canmore.org.uk/site/48624/,307616,639026
48625,https://canmore.org.uk/site/48625/,307914,639561
48626,https://canmore.org.uk/site/48626/,307604,639292
48627,https://canmore.org.uk/site/48627/,309800,638800
49741,https://canmore.org.uk/site/49741/,313000,618000
49742,https://canmore.org.uk/site/49742/,310650,618030
49743,https://canmore.org.uk/site/49743/,311670,615620
49746,https://canmore.org.uk/site/49746/,315320,627640
49747,https://canmore.org.uk/site/49747/,315130,628040
49748,https://canmore.org.uk/site/49748/,319540,627670
49749,https://canmore.org.uk/site/49749/,315170,627710
49750,https://canmore.org.uk/site/49750/,310830,628860
49751,https://canmore.org.uk/site/49751/,311080,627300
49752,https://canmore.org.uk/site/49752/,311250,628540
49753,https://canmore.org.uk/site/49753/,311170,628170
49754,https://canmore.org.uk/site/49754/,311150,625040
49755,https://canmore.org.uk/site/49755/,310690,625100
49756,https://canmore.org.uk/site/49756/,310140,625190
49757,https://canmore.org.uk/site/49757/,311408,627059
49758,https://canmore.org.uk/site/49758/,310870,629790
49759,https://canmore.org.uk/site/49759/,311620,626990
49760,https://canmore.org.uk/site/49760/,312300,629960
49761,https://canmore.org.uk/site/49761/,312290,629910
48751,https://canmore.org.uk/site/48751/,304650,633930
48467,https://canmore.org.uk/site/48467/,309770,618260
48468,https://canmore.org.uk/site/48468/,309900,619200
48469,https://canmore.org.uk/site/48469/,305100,617600
48470,https://canmore.org.uk/site/48470/,308440,619630
48471,https://canmore.org.uk/site/48471/,305710,619690
48472,https://canmore.org.uk/site/48472/,305320,618140
48473,https://canmore.org.uk/site/48473/,304350,618650
48476,https://canmore.org.uk/site/48476/,304330,618550
48789,https://canmore.org.uk/site/48789/,304300,634610
48922,https://canmore.org.uk/site/48922/,308270,640160
48923,https://canmore.org.uk/site/48923/,309810,642160
48924,https://canmore.org.uk/site/48924/,309700,641800
48925,https://canmore.org.uk/site/48925/,308910,642190
48926,https://canmore.org.uk/site/48926/,308600,641010
48927,https://canmore.org.uk/site/48927/,307250,640750
48929,https://canmore.org.uk/site/48929/,309080,641220
48930,https://canmore.org.uk/site/48930/,309540,640410
48931,https://canmore.org.uk/site/48931/,307170,641120
48932,https://canmore.org.uk/site/48932/,308350,640030
48933,https://canmore.org.uk/site/48933/,309970,640500
48934,https://canmore.org.uk/site/48934/,309500,641200
48935,https://canmore.org.uk/site/48935/,309000,642000
49762,https://canmore.org.uk/site/49762/,312500,629690
49763,https://canmore.org.uk/site/49763/,311200,627020
49764,https://canmore.org.uk/site/49764/,311110,629100
49765,https://canmore.org.uk/site/49765/,310000,628000
49766,https://canmore.org.uk/site/49766/,311100,626000
49767,https://canmore.org.uk/site/49767/,311000,629000
49768,https://canmore.org.uk/site/49768/,310460,625530
49769,https://canmore.org.uk/site/49769/,310200,625300
49770,https://canmore.org.uk/site/49770/,314560,628000
49771,https://canmore.org.uk/site/49771/,311950,627010
49772,https://canmore.org.uk/site/49772/,312000,629000
49773,https://canmore.org.uk/site/49773/,311550,626170
49774,https://canmore.org.uk/site/49774/,311550,626070
48629,https://canmore.org.uk/site/48629/,309000,639000
48630,https://canmore.org.uk/site/48630/,309800,639600
48631,https://canmore.org.uk/site/48631/,309800,639000
48632,https://canmore.org.uk/site/48632/,309100,638400
48634,https://canmore.org.uk/site/48634/,307180,636800
48635,https://canmore.org.uk/site/48635/,305270,636500
48636,https://canmore.org.uk/site/48636/,309450,639250
48478,https://canmore.org.uk/site/48478/,304700,618900
48487,https://canmore.org.uk/site/48487/,305370,614630
48664,https://canmore.org.uk/site/48664/,304690,636000
49775,https://canmore.org.uk/site/49775/,311630,629330
49776,https://canmore.org.uk/site/49776/,312000,629610
49777,https://canmore.org.uk/site/49777/,312000,629570
49778,https://canmore.org.uk/site/49778/,311459,627069
49779,https://canmore.org.uk/site/49779/,311710,629380
49780,https://canmore.org.uk/site/49780/,311500,629200
49783,https://canmore.org.uk/site/49783/,312100,629500
49784,https://canmore.org.uk/site/49784/,311480,625620
49785,https://canmore.org.uk/site/49785/,310850,629580
49786,https://canmore.org.uk/site/49786/,311080,629870
49787,https://canmore.org.uk/site/49787/,311114,626438
49788,https://canmore.org.uk/site/49788/,312000,629500
49791,https://canmore.org.uk/site/49791/,311200,629740
49792,https://canmore.org.uk/site/49792/,311020,629750
49793,https://canmore.org.uk/site/49793/,310610,628700
49794,https://canmore.org.uk/site/49794/,315060,620280
49795,https://canmore.org.uk/site/49795/,319860,622700
49796,https://canmore.org.uk/site/49796/,310050,624530
49797,https://canmore.org.uk/site/49797/,310100,624100
49798,https://canmore.org.uk/site/49798/,313700,620350
49799,https://canmore.org.uk/site/49799/,310540,623500
